season,date,team_1,team_2,target_result,target_over_2_5,team_1_win_rate_pct,team_1_avg_goal_difference,team_1_avg_goals_scored,team_2_win_rate_pct,team_2_avg_goal_difference,team_2_avg_goals_scored,diff_win_rate,diff_goal_diff,diff_goals_scored,matchup_avg_goals,matchup_intensity_score,matchup_dominance
13/14,11/10/2013,Manchester United,Arsenal,W1,Under,56.86,0.81,1.8,52.83,0.67,1.81,4.03,0.14,-0.01,2.55,29.37,1.18
13/14,4/13/2014,Liverpool,Manchester City,W1,Over,54.79,0.81,1.9,67.4,1.37,2.24,-12.61,-0.56,-0.34,3.41,24.22,1.68
13/14,3/16/2014,Manchester United,Liverpool,W2,Over,56.86,0.81,1.8,54.79,0.81,1.9,2.07,0.0,-0.1,2.29,28.66,1.05
13/14,1/19/2014,Chelsea,Manchester United,W1,Over,56.27,0.77,1.8,56.86,0.81,1.8,-0.59,-0.04,0.0,2.41,30.58,1.05
13/14,9/22/2013,Manchester City,Manchester United,W1,Over,67.4,1.37,2.24,56.86,0.81,1.8,10.54,0.56,0.44,2.68,28.32,1.41
13/14,4/27/2014,Liverpool,Chelsea,W2,Under,54.79,0.81,1.9,56.27,0.77,1.8,-1.48,0.04,0.1,2.68,25.83,1.05
13/14,10/27/2013,Chelsea,Manchester City,W1,Over,56.27,0.77,1.8,67.4,1.37,2.24,-11.13,-0.6,-0.44,2.48,28.34,1.52
13/14,12/29/2013,Chelsea,Liverpool,W1,Over,56.27,0.77,1.8,54.79,0.81,1.9,1.48,-0.04,-0.1,2.68,25.83,1.05
13/14,12/26/2013,Manchester City,Liverpool,W1,Over,67.4,1.37,2.24,54.79,0.81,1.9,12.61,0.56,0.34,3.41,24.22,1.68
13/14,3/25/2014,Manchester United,Manchester City,W2,Over,56.86,0.81,1.8,67.4,1.37,2.24,-10.54,-0.56,-0.44,2.68,28.32,1.41
13/14,2/12/2014,Arsenal,Manchester United,D,Under,52.83,0.67,1.81,56.86,0.81,1.8,-4.03,-0.14,0.01,2.55,29.37,1.18
14/15,8/25/2014,Manchester City,Liverpool,W1,Over,67.4,1.37,2.24,54.79,0.81,1.9,12.61,0.56,0.34,3.41,24.22,1.68
14/15,9/13/2014,Arsenal,Manchester City,D,Over,52.83,0.67,1.81,67.4,1.37,2.24,-14.57,-0.7,-0.43,2.77,28.05,1.41
14/15,4/18/2015,Chelsea,Manchester United,W1,Under,56.27,0.77,1.8,56.86,0.81,1.8,-0.59,-0.04,0.0,2.41,30.58,1.05
14/15,11/22/2014,Arsenal,Manchester United,W2,Over,52.83,0.67,1.81,56.86,0.81,1.8,-4.03,-0.14,0.01,2.55,29.37,1.18
