season,date,team_1,team_2,target_result,target_over_2_5,team_1_win_rate_pct,team_1_avg_goal_difference,team_1_avg_goals_scored,team_2_win_rate_pct,team_2_avg_goal_difference,team_2_avg_goals_scored,diff_win_rate,diff_goal_diff,diff_goals_scored,matchup_avg_goals,matchup_intensity_score,matchup_dominance
19/20,1/21/2020,Chelsea,Arsenal,D,Over,56.27,0.77,1.8,52.83,0.67,1.81,3.44,0.1,-0.01,2.86,28.53,1.43
19/20,1/1/2020,Arsenal,Manchester United,W1,Under,52.83,0.67,1.81,56.86,0.81,1.8,-4.03,-0.14,0.01,2.55,29.37,1.18
19/20,7/15/2020,Arsenal,Liverpool,W1,Over,52.83,0.67,1.81,54.79,0.81,1.9,-1.96,-0.14,-0.09,3.71,23.96,1.43
19/20,6/17/2020,Manchester City,Arsenal,W1,Over,67.4,1.37,2.24,52.83,0.67,1.81,14.57,0.7,0.43,2.77,28.05,1.41
19/20,7/22/2020,Liverpool,Chelsea,W1,Over,54.79,0.81,1.9,56.27,0.77,1.8,-1.48,0.04,0.1,2.68,25.83,1.05
20/21,9/28/2020,Liverpool,Arsenal,W1,Over,54.79,0.81,1.9,52.83,0.67,1.81,1.96,0.14,0.09,3.71,23.96,1.43
20/21,12/12/2020,Manchester United,Manchester City,D,Under,56.86,0.81,1.8,67.4,1.37,2.24,-10.54,-0.56,-0.44,2.68,28.32,1.41
20/21,10/17/2020,Manchester City,Arsenal,W1,Under,67.4,1.37,2.24,52.83,0.67,1.81,14.57,0.7,0.43,2.77,28.05,1.41
20/21,10/24/2020,Manchester United,Chelsea,D,Under,56.86,0.81,1.8,56.27,0.77,1.8,0.59,0.04,0.0,2.41,30.58,1.05
20/21,12/26/2020,Arsenal,Chelsea,W1,Over,52.83,0.67,1.81,56.27,0.77,1.8,-3.44,-0.1,0.01,2.86,28.53,1.43
20/21,1/30/2021,Arsenal,Manchester United,D,Under,52.83,0.67,1.81,56.86,0.81,1.8,-4.03,-0.14,0.01,2.55,29.37,1.18
20/21,11/1/2020,Manchester United,Arsenal,W2,Under,56.86,0.81,1.8,52.83,0.67,1.81,4.03,0.14,-0.01,2.55,29.37,1.18
20/21,1/17/2021,Liverpool,Manchester United,D,Under,54.79,0.81,1.9,56.86,0.81,1.8,-2.07,0.0,0.1,2.29,28.66,1.05
20/21,9/20/2020,Chelsea,Liverpool,W2,Under,56.27,0.77,1.8,54.79,0.81,1.9,1.48,-0.04,-0.1,2.68,25.83,1.05
20/21,2/21/2021,Arsenal,Manchester City,W2,Under,52.83,0.67,1.81,67.4,1.37,2.24,-14.57,-0.7,-0.43,2.77,28.05,1.41
20/21,2/28/2021,Chelsea,Manchester United,D,Under,56.27,0.77,1.8,56.86,0.81,1.8,-0.59,-0.04,0.0,2.41,30.58,1.05
20/21,1/3/2021,Chelsea,Manchester City,W2,Over,56.27,0.77,1.8,67.4,1.37,2.24,-11.13,-0.6,-0.44,2.48,28.34,1.52
20/21,2/7/2021,Liverpool,Manchester City,W2,Over,54.79,0.81,1.9,67.4,1.37,2.24,-12.61,-0.56,-0.34,3.41,24.22,1.68
20/21,3/7/2021,Manchester City,Manchester United,W2,Under,67.4,1.37,2.24,56.86,0.81,1.8,10.54,0.56,0.44,2.68,28.32,1.41
20/21,11/8/2020,Manchester City,Liverpool,D,Under,67.4,1.37,2.24,54.79,0.81,1.9,12.61,0.56,0.34,3.41,24.22,1.68
20/21,3/4/2021,Liverpool,Chelsea,W2,Under,54.79,0.81,1.9,56.27,0.77,1.8,-1.48,0.04,0.1,2.68,25.83,1.05
